33061;LEVEMIR FLEXPEN;100 U/mL;Solución Inyectable;INYECTABLE;Cartucho X 3 mL;5;26/07/2017 12:00:00 a.m.;BE00419;QUIMICA SUIZA;ACT
33062;ISMIGEN;50 mg;Comprimido Sublingual;TABLETA;Caja Envase Blíster Comprimidos;30;24/03/2019 12:00:00 a.m.;BE00595;MERCK;ACT
33063;ISALGEN;20 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;5;06/07/2020 12:00:00 a.m.;N18051;ALBIS;ACT
33065;HALOVATE;0.05%;Crema;CREMA;Tubo X 30 g;1;24/09/2020 12:00:00 a.m.;E22336;GLENMARK;ACT
33066;GLICENEX SR;750 mg;Comprimido recubierto de liberación prolongada;TABLETA;Caja Envase Blíster Comprimidos;30;12/03/2020 12:00:00 a.m.;E22199;BAGO;ACT
33071;FEMELAC;190 mg;Ovulo;OVULO;Caja Envase Blister Ovulos;7;01/09/2014 12:00:00 a.m.;E21910;GRUNENTHAL;ACT
33076;AMPICILINA;500 mg;Polvo para Solución Inyectable;INYECTABLE;Vial;1;17/05/2019 12:00:00 a.m.;EG2539;VITALIS;ACT
33077;AMPICILINA;500 mg;Polvo para Solución Inyectable;INYECTABLE;Vial;50;17/05/2019 12:00:00 a.m.;EG2539;VITALIS;ACT
33078;AMPICILINA;500 mg;Polvo para Solución Inyectable;INYECTABLE;Vial;100;17/05/2019 12:00:00 a.m.;EG2539;VITALIS;ACT
33085;DOBEXILAB 500;500 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;30;12/12/2018 12:00:00 a.m.;N25331;VITA PHARMA;ACT
33086;DOLOFOR 600 DOL;600 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;120;20/09/2021 12:00:00 a.m.;N22858;FARMACEUTICA CONTINENTAL;ACT
33088;EPIDUO;0.1 % + 2.5 %;Gel;JALEA;Tubo X 30 g;1;31/01/2018 12:00:00 a.m.;E22965;QUIMICA SUIZA;ACT
33089;EUTEBROL;20 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;30;29/10/2017 12:00:00 a.m.;E22912;TECNOFARMA;ACT
33092;FUSIBIOTIC;2%;Crema;CREMA;Caja Tubo x 20 g;1;23/11/2017 12:00:00 a.m.;E22927;LUKOLL;ACT
33095;FUROSEMIDA;40 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;1;27/03/2018 12:00:00 a.m.;EN00050;IQ FARMA;ACT
33096;GILENYA;0.5 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;28;07/12/2021 12:00:00 a.m.;E22599;NOVARTIS;ACT
33100;GLUMIKIN;500 mg/2 mL;Solución Inyectable;INYECTABLE;Vial X 2 mL;1;29/09/2020 12:00:00 a.m.;E17643;TERBOL;ACT
33101;HIDRAX MANZANA;;Solución Oral;SOLUCION;Frasco x 1 L;1;21/09/2012 12:00:00 a.m.;N23866;MEDIFARMA;ACT
33102;GLIMEPIRIDA;2 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;16;18/08/2021 12:00:00 a.m.;EG5088;QUIMICA SUIZA;ACT
33103;IBUFENOL 200;200 mg/5 mL;Suspensión Oral;SUSPENSION;Caja Frasco x 100 mL;1;06/08/2019 12:00:00 a.m.;E21846;QUIMFA;ACT
33104;KLARIXOL EXPECTORANTE;;Polvo para Suspensión Oral;SUSPENSION;Frasco X 70 mL;1;14/10/2014 12:00:00 a.m.;N26351;FARMINDUSTRIA;ACT
33105;KLARICID I.V.;500 mg;Polvo para Solución Inyectable;INYECTABLE;Vial;6;07/03/2017 12:00:00 a.m.;E22668;ABBOTT;ACT
33106;LAXOFAST;;Polvo para Solución Oral;SOLUCION;Caja Sobre x 110 g;4;28/04/2020 12:00:00 a.m.;N26842;IQ FARMA;ACT
33108;LORALAB COMPUESTO;;Tableta;TABLETA;Caja Envase Blister Tabletas;10;18/08/2014 12:00:00 a.m.;N26028;VITA PHARMA;ACT
33109;SILDENAFILO;100 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;14/02/2013 12:00:00 a.m.;NG5492;MEDROCK;ACT
33115;QUETIAZIC;300 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;30;28/05/2017 12:00:00 a.m.;E22763;TECNOFARMA;ACT
33119;SALBUVENT;100 µg/Dosis;Aerosol para Inhalación;AEROSOL;Envase Aerosol x 250 Dosis;1;10/06/2014 12:00:00 a.m.;E21754;ELIFARMA;ACT
33122;SILDEGOLD;50 mg;Cápsula Blanda;CAPSULA;Caja Envase Blister Cápsulas;2;22/07/2019 12:00:00 a.m.;E21818;SHERFARMA;ACT
33126;LAMOFLOX;0.50%;Solución Oftálmica;SOLUCION OFTALMICA;Frasco Gotero X 5 mL;1;14/10/2019 12:00:00 a.m.;N26349;LANSIER;ACT
33128;PIPERACILINA + TAZOBACTAM;4 g + 0.5 g;Polvo para Solución Inyectable;INYECTABLE;Caja vial;2;19/01/2019 12:00:00 a.m.;EG6064;VITALIS;ACT
33129;PIPERACILINA + TAZOBACTAM;4 g + 0.5 g;Polvo para Solución Inyectable;INYECTABLE;Caja vial;3;19/01/2019 12:00:00 a.m.;EG6064;VITALIS;ACT
33130;PIPERACILINA + TAZOBACTAM;4 g + 0.5 g;Polvo para Solución Inyectable;INYECTABLE;Caja vial;6;19/01/2019 12:00:00 a.m.;EG6064;VITALIS;ACT
33131;PIPERACILINA + TAZOBACTAM;4 g + 0.5 g;Polvo para Solución Inyectable;INYECTABLE;Caja vial;9;19/01/2019 12:00:00 a.m.;EG6064;VITALIS;ACT
33132;PIPERACILINA + TAZOBACTAM;4 g + 0.5 g;Polvo para Solución Inyectable;INYECTABLE;Caja vial;25;19/01/2019 12:00:00 a.m.;EG6064;VITALIS;ACT
33133;PIPERACILINA + TAZOBACTAM;4 g + 0.5 g;Polvo para Solución Inyectable;INYECTABLE;Caja vial;50;19/01/2019 12:00:00 a.m.;EG6064;VITALIS;ACT
33136;FLOXAN;500 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;7;22/10/2019 12:00:00 a.m.;N26408;LUSA;ACT
33137;FEMIANE;;Grageas;TABLETA;Caja Grageas;21;23/05/2017 12:00:00 a.m.;E10240;BAYER;ACT
33138;CANDESARTAN CILEXETILO;8 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;14;15/03/2017 12:00:00 a.m.;EG6423;QUIMICA SUIZA;ACT
33140;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;1;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33141;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;2;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33142;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;3;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33143;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;5;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33144;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;6;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33145;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;20;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33146;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;50;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33147;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;100;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33148;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;500;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33149;CEFRADINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;1000;12/06/2013 12:00:00 a.m.;EG5847;VITALIS;ACT
33150;FEMELLE 20;;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;28;02/05/2021 12:00:00 a.m.;E18336;FARMINDUSTRIA;ACT
33151;CUTENOX;40 mg/0.4 mL;Solución Inyectable;INYECTABLE;Jeringa Prellenada x 0.4 mL;1;27/04/2017 12:00:00 a.m.;BE00860;NORDIC;ACT
33152;FLUCONAZOL;150 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;2;25/03/2019 12:00:00 a.m.;NG6088;VITA PHARMA;ACT
33153;FLUOXETINA;20 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;26/01/2020 12:00:00 a.m.;NG2276;AC FARMA;ACT
33154;GLYCOLAX;17 g;Polvo para Solución Oral;SOLUCION;Sobre x 17 g;12;18/04/2020 12:00:00 a.m.;N21711;MEDIFARMA;ACT
33167;MARVELON;0.15 mg + 0.03 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;21;22/08/2020 12:00:00 a.m.;E8670;SCHERING;ACT
33177;LACTOMED;3.33 mg/5 mL;Solución Oral;SOLUCION;Frasco X 100 mL;1;12/05/2019 12:00:00 a.m.;N25724;MEDROCK;ACT
33178;LAGRICEL OFTENO;4 mg/mL;Solución Oftálmica;SOLUCION OFTALMICA;Frasco Gotero x 0.5 mL;2;10/10/2011 12:00:00 a.m.;E18847;OFTALMICOS;ACT
33181;LIPIMID 20;20 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;30;20/05/2014 12:00:00 a.m.;E21708;QUIMFA;ACT
33182;LIPIMID 40;40 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;30;20/07/2019 12:00:00 a.m.;E21811;QUIMFA;ACT
33183;IBUFENOL 600;600 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;100;06/08/2019 12:00:00 a.m.;E21848;QUIMFA;ACT
33189;NOCIDEX;;Suspensión Oral;SUSPENSION;Frasco X 200 mL;1;25/03/2014 12:00:00 a.m.;N25646;VITA PHARMA;ACT
33192;OSEBAN;3 mg/3mL;Solución Inyectable;INYECTABLE;Ampolla X 3 mL;1;26/11/2020 12:00:00 a.m.;E22380;LAFRANCOL;ACT
33194;POSTINOR 2;0.75 mg;Comprimido;TABLETA;Caja Envase Blister Tabletas;200;20/11/2011 12:00:00 a.m.;E14208;GEDEON;ACT
33195;PREDIMED;20 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;16/02/2022 12:00:00 a.m.;N27097;FARMINDUSTRIA;ACT
33197;ROXTRIM BALSAMICO;800 mg + 160 mg + 200 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;20/08/2019 12:00:00 a.m.;N26048;ROXFARMA;ACT
33200;SAL DE ANDREWS LIMON;;Polvo Efervescente para Solución Oral;POLVO;Caja Sobre X 5 g;100;25/06/2014 12:00:00 a.m.;N21281;MEDIFARMA;ACT
33208;TINOX;2.5 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;30;16/11/2020 12:00:00 a.m.;E13364;FARMINDUSTRIA;ACT
33211;ATORVASTATINA;40 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;1;15/01/2014 12:00:00 a.m.;NG5991;VITA PHARMA;ACT
33219;CLAROL 9 FORTE;10 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;27/04/2014 12:00:00 a.m.;N25701;BORSUAS;ACT
33220;CLOMIPRAMINA;25 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;1;29/03/2017 12:00:00 a.m.;NG5273;MEDROCK;ACT
33221;DOXULIP;20 mg/10 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 10 mL;1;27/01/2019 12:00:00 a.m.;EE00176;Q PHARMA;ACT
33222;DOXULIP;20 mg/10 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 10 mL;5;27/01/2019 12:00:00 a.m.;EE00176;Q PHARMA;ACT
33223;LIPIMID 80;80 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;30;12/05/2014 12:00:00 a.m.;E21689;QUIMFA;ACT
33237;TRAMADOL;100 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;500;12/03/2017 12:00:00 a.m.;EG3584;VITALIS;ACT
33238;TRAMADOL;100 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;1000;12/03/2017 12:00:00 a.m.;EG3584;VITALIS;ACT
33249;AMOXICILINA;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco x 45 mL;1;28/06/2017 12:00:00 a.m.;EG6447;QUIMICA SUIZA;ACT
33256;CLONAZEPAM;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;22/11/2017 12:00:00 a.m.;EN00099;IQ FARMA;ACT
33257;DOLOFARMALAN;0.10%;Solución Oftálmica;SOLUCION OFTALMICA;Frasco X 5 mL;1;24/09/2013 12:00:00 a.m.;N20843;MEDIFARMA;ACT
33258;DILTIAZEM;60 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;300;04/07/2020 12:00:00 a.m.;NG4696;MEDIFARMA;ACT
33259;DILTIAZEM;60 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;1;04/07/2020 12:00:00 a.m.;NG4696;MEDIFARMA;ACT
33261;IBUFENOL 400;400 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;100;20/10/2019 12:00:00 a.m.;E21994;QUIMFA;ACT
33262;MEROPENEM;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1;24/10/2020 12:00:00 a.m.;EG4795;VITALIS;ACT
33263;MEROPENEM;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;25;24/10/2020 12:00:00 a.m.;EG4795;VITALIS;ACT
33264;MEROPENEM;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;50;24/10/2020 12:00:00 a.m.;EG4795;VITALIS;ACT
33265;MEROPENEM;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;100;24/10/2020 12:00:00 a.m.;EG4795;VITALIS;ACT
33266;MEROPENEM;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;500;24/10/2020 12:00:00 a.m.;EG4795;VITALIS;ACT
33267;MEROPENEM;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1000;24/10/2020 12:00:00 a.m.;EG4795;VITALIS;ACT
33268;NEUGRAST;300 µg/mL;Solución Inyectable;INYECTABLE;Jeringa Prellenada x 1 mL;1;23/01/2021 12:00:00 a.m.;BE00324;ACCORD;ACT
33270;OMEPRAZOL;40 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;25;14/03/2017 12:00:00 a.m.;EG3586;VITALIS;ACT
33271;OMEPRAZOL;40 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;500;14/03/2017 12:00:00 a.m.;EG3586;VITALIS;ACT
33272;OMEPRAZOL;40 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1000;14/03/2017 12:00:00 a.m.;EG3586;VITALIS;ACT
33273;AET;1%;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;1;25/09/2018 12:00:00 a.m.;EE00113;NOVO LAB;ACT
33280;TERAZOSINA;5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;21/12/2019 12:00:00 a.m.;NG6271;MEDROCK;ACT
33281;YASMIN;;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;21;26/04/2017 12:00:00 a.m.;E19343;BAYER;ACT
33282;TRAMADOL;100 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;25;24/06/2019 12:00:00 a.m.;NG6140;FARMINDUSTRIA;ACT
33283;CEFTAZIDIMA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1;17/02/2019 12:00:00 a.m.;EE00196;VITALIS;ACT
33284;CEFTAZIDIMA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;10;17/02/2019 12:00:00 a.m.;EE00196;VITALIS;ACT
33285;CEFTAZIDIMA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;25;17/02/2019 12:00:00 a.m.;EE00196;VITALIS;ACT
33286;CEFTAZIDIMA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;50;17/02/2019 12:00:00 a.m.;EE00196;VITALIS;ACT
33287;CEFTAZIDIMA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;100;17/02/2019 12:00:00 a.m.;EE00196;VITALIS;ACT
33288;CEFTAZIDIMA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;500;17/02/2019 12:00:00 a.m.;EE00196;VITALIS;ACT
33289;CEFTAZIDIMA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1000;17/02/2019 12:00:00 a.m.;EE00196;VITALIS;ACT
33298;ERITROPOYETINA HUMANA RECOMBINANTE;2000 UI/mL;Solución Inyectable;INYECTABLE;Caja Vial;1;04/07/2017 12:00:00 a.m.;BE00872;Q PHARMA;ACT
33299;ERITROPOYETINA HUMANA RECOMBINANTE;2000 UI/mL;Solución Inyectable;INYECTABLE;Caja Vial;10;04/07/2017 12:00:00 a.m.;BE00872;Q PHARMA;ACT
33302;NEXPLANON;68 mg;Implante en Jeringa Precargada;IMPLANTE;Envase Blister Implante;1;17/07/2018 12:00:00 a.m.;E23092;MERCK SHARP;ACT
33303;OXACILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;10;21/05/2018 12:00:00 a.m.;EE00002;VITALIS;ACT
33304;OXACILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;25;21/05/2018 12:00:00 a.m.;EE00002;VITALIS;ACT
33305;OXACILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;50;21/05/2018 12:00:00 a.m.;EE00002;VITALIS;ACT
33306;OXACILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;100;21/05/2018 12:00:00 a.m.;EE00002;VITALIS;ACT
33307;OXACILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;500;21/05/2018 12:00:00 a.m.;EE00002;VITALIS;ACT
33308;OXACILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1000;21/05/2018 12:00:00 a.m.;EE00002;VITALIS;ACT
33310;ZOMACTON;4 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial + Solvente x 3.5 mL;1;23/03/2019 12:00:00 a.m.;BE00593;PERULAB;ACT
33311;TRAMADOL;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;1;14/03/2017 12:00:00 a.m.;EG3587;VITALIS;ACT
33312;TRAMADOL;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;25;14/03/2017 12:00:00 a.m.;EG3587;VITALIS;ACT
33313;TRAMADOL;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;50;14/03/2017 12:00:00 a.m.;EG3587;VITALIS;ACT
33314;TRAMADOL;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;100;14/03/2017 12:00:00 a.m.;EG3587;VITALIS;ACT
33315;TRAMADOL;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;500;14/03/2017 12:00:00 a.m.;EG3587;VITALIS;ACT
33316;TRAMADOL;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;1000;14/03/2017 12:00:00 a.m.;EG3587;VITALIS;ACT
33317;PREVENIL 5;5 mg;Comprimido Masticable;TABLETA;Caja Envase Blíster Comprimidos;10;25/09/2014 12:00:00 a.m.;E21961;QUIMFA;ACT
33318;RHOPHYLAC 300;300 µg(1500 UI)/2 mL;Solución Inyectable;INYECTABLE;Jeringa Prellenada x 2 mL;2;09/01/2019 12:00:00 a.m.;BE00572;BIOTOSCANA;ACT
33319;MEROPENEM;500 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1000;12/12/2017 12:00:00 a.m.;EG6477;VITALIS;ACT
33320;EVACUOL;;Emulsión Rectal;ENEMA;Frasco X 133 mL;1;12/02/2012 12:00:00 a.m.;N13702;MEDIFARMA;ACT
33321;METIOGEN 850;850 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;30;05/07/2020 12:00:00 a.m.;E22296;QUIMFA;ACT
33327;PENICILINA G PROCAINICA;1 000 000 UI;Polvo para Suspensión Inyectable;INYECTABLE;Caja Vial;1;09/01/2018 12:00:00 a.m.;EG5650;LABOT;ACT
33329;DOCETAXEL;80 mg/2 mL;Concentrado para Solución para Perfusión;INYECTABLE;Caja Vial X 2 mL;1;29/10/2018 12:00:00 a.m.;NG4067;MEDIFARMA;ACT
33330;MUPIROX;2%;Crema;CREMA;Caja Tubo x 15 g;50;26/10/2014 12:00:00 a.m.;N26411;AC FARMA;ACT
33337;VANCOTECH 500 CP;500 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1;10/10/2018 12:00:00 a.m.;E23146;Q PHARMA;ACT
33338;VANCOTECH 500 CP;500 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;10;10/10/2018 12:00:00 a.m.;E23146;Q PHARMA;ACT
33339;QUETIAPINA;300 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;200;18/01/2020 12:00:00 a.m.;NG6285;MEDROCK;ACT
33341;MELOXICAM;15 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;27/10/2018 12:00:00 a.m.;NG4061;AC FARMA;ACT
33342;LIPIMID 10;10 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;30;12/05/2014 12:00:00 a.m.;E21686;QUIMFA;ACT
33343;TIORFAN LACTANTES;10 mg/g;Granulos para Solución Oral;GRANULOS;Sobre x 1 g;1;31/12/2018 12:00:00 a.m.;N21003;ALBIS;ACT
33344;ROCURONIO BROMURO;50 mg/5 mL;Solución Inyectable;INYECTABLE;Caja Vial X 5 mL;1;21/03/2018 12:00:00 a.m.;EG6494;VITALIS;ACT
33345;ROCURONIO BROMURO;50 mg/5 mL;Solución Inyectable;INYECTABLE;Caja Vial X 5 mL;5;21/03/2018 12:00:00 a.m.;EG6494;VITALIS;ACT
33346;ROCURONIO BROMURO;50 mg/5 mL;Solución Inyectable;INYECTABLE;Caja Vial X 5 mL;10;21/03/2018 12:00:00 a.m.;EG6494;VITALIS;ACT
33347;ROCURONIO BROMURO;50 mg/5 mL;Solución Inyectable;INYECTABLE;Caja Vial X 5 mL;20;21/03/2018 12:00:00 a.m.;EG6494;VITALIS;ACT
33348;ROCURONIO BROMURO;50 mg/5 mL;Solución Inyectable;INYECTABLE;Caja Vial X 5 mL;50;21/03/2018 12:00:00 a.m.;EG6494;VITALIS;ACT
33349;ROCURONIO BROMURO;50 mg/5 mL;Solución Inyectable;INYECTABLE;Caja Vial X 5 mL;100;21/03/2018 12:00:00 a.m.;EG6494;VITALIS;ACT
33350;PREVENIL 10;10 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;10;17/09/2014 12:00:00 a.m.;E21943;QUIMFA;ACT
33351;CALMATRAN 10;10 mg;Comprimido Sublingual;TABLETA;Caja Envase Blíster Comprimidos;100;19/11/2014 12:00:00 a.m.;E22069;QUIMFA;ACT
33352;CEFADROXILO;500 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;19/09/2017 12:00:00 a.m.;NG3452;FARMINDUSTRIA;ACT
33353;PROLONGIN;40 mg/0.4 mL;Solución Inyectable;INYECTABLE;Jeringa Prellenada x 0.4 mL;1;27/02/2019 12:00:00 a.m.;BE00588;PHARMAGEN;ACT
33354;PROLONGIN;40 mg/0.4 mL;Solución Inyectable;INYECTABLE;Jeringa Prellenada x 0.4 mL;2;27/02/2019 12:00:00 a.m.;BE00588;PHARMAGEN;ACT
33355;FUZOLPAULY;150 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;2;25/02/2019 12:00:00 a.m.;E11630;LAFRANCOL;ACT
33356;SULFATO FERROSO;75 mg/5 mL;Solución Oral;SOLUCION;Frasco X 180 mL;1;29/04/2021 12:00:00 a.m.;NG6332;PORTUGAL;ACT
33357;FENOXILINA;1 000 000 UI;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;25/08/2019 12:00:00 a.m.;N21376;IQ FARMA;ACT
33358;FLEXAGIN 20;20 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;10;01/09/2019 12:00:00 a.m.;E21909;QUIMFA;ACT
33360;CARDIOVITAL 100;100 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;30;15/12/2019 12:00:00 a.m.;E22121;QUIMFA;ACT
33367;ENSUFER;100 mgFe/5 mL;Solución Inyectable;INYECTABLE;Vial;1;22/11/2021 12:00:00 a.m.;E18945;NORDIC;ACT
33369;DICLOFENACO SODICO;75 mg/3 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 3 mL;10;08/03/2018 12:00:00 a.m.;EG6489;VITALIS;ACT
33370;DICLOFENACO SODICO;75 mg/3 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 3 mL;50;08/03/2018 12:00:00 a.m.;EG6489;VITALIS;ACT
33371;DICLOFENACO SODICO;75 mg/3 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 3 mL;100;08/03/2018 12:00:00 a.m.;EG6489;VITALIS;ACT
33372;LEVONORGESTREL;0.75 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;50;03/03/2019 12:00:00 a.m.;NG4253;AC FARMA;ACT
33373;CLORURO DE SODIO;0.90%;Solución Inyectable;INYECTABLE;Frasco X 100 mL;1;04/06/2017 12:00:00 a.m.;EE00062;SANDERSON;ACT
33374;QUETIAPINA;200 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;28/12/2019 12:00:00 a.m.;NG6275;MEDROCK;ACT
33375;CLOBETASOL;0.05%;Crema;CREMA;Tubo X 25 g;50;13/10/2018 12:00:00 a.m.;NG1803;AC FARMA;ACT
33376;FENITOINA SODICA;100 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;200;31/01/2022 12:00:00 a.m.;NG6347;IQ FARMA;ACT
33377;FENITOINA SODICA;100 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;1;31/01/2022 12:00:00 a.m.;NG6347;IQ FARMA;ACT
33381;AMITRIPTILINA;25 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;1;21/10/2020 12:00:00 a.m.;NG6326;MEDROCK;ACT
33383;INMUNOGLOBULINA HUMANA CONTRA LA HEPATITIS B;100 UI/mL;Solución Inyectable;INYECTABLE;Vial;1;09/01/2019 12:00:00 a.m.;BE00934;GLOBAL MED FARMA;ACT
33384;DICLOXACILINA;500 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;1;19/11/2018 12:00:00 a.m.;NG1848;IQ FARMA;ACT
33385;METIOGEN 500;500 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;30;04/03/2020 12:00:00 a.m.;E22193;QUIMFA;ACT
33387;IRBESARTAN;150 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;50;09/03/2019 12:00:00 a.m.;NG4257;AC FARMA;ACT
33389;IBUFENOL;100 mg/5 mL;Suspensión Oral;SUSPENSION;Frasco X 100 mL;100;18/08/2019 12:00:00 a.m.;E21865;QUIMFA;ACT
33391;OMEPRAZOL;20 mg;Cápsula de Liberación Retardada;CAPSULA;Caja Envase Blister Cápsulas de Liberación Retardada;100;25/11/2018 12:00:00 a.m.;NG6422;NATURGEN;ACT
